time,gFx,gFy,gFz,Class
1552296646.11,511.424,815.936,331.840,1
1552296646.12,542.656,819.840,296.704,1
1552296646.13,534.848,800.320,300.608,1
1552296646.14,538.752,804.224,284.992,1
1552296646.15,566.080,800.320,320.128,1
1552296646.16,562.176,804.224,320.128,1
1552296646.17,569.984,804.224,320.128,1
1552296646.18,558.272,800.320,320.128,1
1552296646.19,562.176,788.608,308.416,1
1552296646.20,569.984,800.320,312.320,1
1552296646.21,566.080,796.416,320.128,1
1552296646.22,562.176,788.608,316.224,1
1552296646.23,562.176,792.512,320.128,1
1552296646.24,546.560,780.800,324.032,1
1552296646.25,554.368,788.608,312.320,1
1552296646.26,558.272,792.512,327.936,1
1552296646.27,562.176,796.416,335.744,1
1552296646.28,569.984,788.608,324.032,1
1552296646.29,566.080,792.512,316.224,1
1552296646.30,558.272,788.608,304.512,1
1552296646.31,554.368,792.512,304.512,1
1552296646.32,546.560,800.320,296.704,1
1552296646.33,527.040,804.224,296.704,1
1552296646.34,515.328,812.032,300.608,1
1552296646.35,527.040,812.032,300.608,1
1552296646.36,527.040,804.224,312.320,1
1552296646.37,534.848,792.512,300.608,1
1552296646.38,538.752,784.704,300.608,1
1552296646.39,550.464,796.416,300.608,1
1552296646.40,546.560,784.704,296.704,1
1552296646.41,534.848,808.128,327.936,1
1552296646.42,558.272,808.128,320.128,1
1552296646.43,566.080,796.416,312.320,1
1552296646.44,562.176,792.512,312.320,1
1552296646.45,566.080,796.416,312.320,1
1552296646.46,562.176,804.224,316.224,1
1552296646.47,569.984,792.512,312.320,1
1552296646.48,566.080,792.512,308.416,1
1552296646.49,569.984,815.936,308.416,1
1552296646.50,562.176,796.416,316.224,1
1552296646.51,546.560,796.416,304.512,1
1552296646.52,562.176,796.416,308.416,1
1552296646.53,550.464,804.224,316.224,1
1552296646.54,554.368,788.608,292.800,1
1552296646.55,542.656,792.512,308.416,1
1552296646.56,554.368,800.320,300.608,1
1552296646.57,562.176,792.512,320.128,1
1552296646.58,558.272,788.608,324.032,1
1552296646.59,566.080,804.224,320.128,1
1552296646.60,566.080,796.416,335.744,1
1552296646.61,573.888,788.608,316.224,1
1552296646.62,566.080,780.800,320.128,1
