time1,Statistic1_x,Statistic1_y,Statistic1_z,Statistic1_r,Statistic1_theta,Statistic1_phi,Variance_x,Variance_y,Variance_z,Variance_r,Variance_theta,Variance_phi,skewness_x,skewness_y,skewness_z,skewness_r,skewness_theta,skewness_phi,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_r,kurtosis_theta,kurtosis_phi,max_x,max_y,max_z,max_r,max_theta,max_phi,min_x,min_y,min_z,min_r,min_theta,min_phi,Class
65.3619818,-0.029266767,-0.130867633,0.082068725,0.027123392,-7.482477242,2.604959025,0.112344578,0.173930945,0.122347946,0.106488797,6.701144877,84.99081607,-0.199663491,-0.54593407,0.128818574,0.489616624,1.001737482,0.836701965,-0.580502474,-0.703617234,1.322658508,1.08000272,1.582569944,-0.683736833,0.1974235,0.1633715,0.411859,0.330767,14.6674635,171.8388975,-0.3243405,-0.4442075,-0.2812325,-0.2319785,-19.2964705,-126.279545,3
68.3330206,0.022306525,-0.20505815,0.075702492,0.001094283,-13.11587604,44.91033327,0.099743713,0.090260525,0.126393272,0.129381556,3.540936745,111.8501369,0.069556402,0.205738847,-0.669174651,-0.602152817,0.236058965,0.080224219,-0.699230445,-0.021594288,0.388864848,0.252540666,-0.794029086,-1.39754776,0.2419025,0.0099515,0.2990135,0.2250485,-5.439322,201.91922,-0.2315685,-0.411108,-0.3008485,-0.370093,-19.5092705,-149.427185,3
71.3039674,0.050992475,-0.180609625,0.111209783,0.032460042,-14.96608711,-59.02571077,0.05252755,0.05002541,0.112763639,0.115251176,2.26935121,109.2381532,-0.267867374,0.872312037,0.189360846,0.176236052,0.133663673,1.628408979,-0.482171025,0.675722664,-0.766997032,-0.768151849,-0.218546302,1.1570983,0.1705465,-0.0321485,0.366465,0.289953,-8.7291065,203.460144,-0.083731,-0.273429,-0.0974575,-0.180898,-19.8731415,-150.0438385,3
74.2748841,-0.119007167,0.169664917,-0.023930842,0.000852492,6.897440067,-47.20123794,0.075695945,0.101793919,0.233591388,0.179860144,11.20921902,10.91013412,-0.255661751,0.016624072,0.201526504,0.677041922,0.685531688,0.378383566,0.571452899,-0.091609141,-0.583954921,-0.198670595,-0.051494542,0.944101914,0.0769505,0.3900715,0.53706,0.50161,37.222532,-18.473274,-0.2980435,-0.066285,-0.50302,-0.2900105,-11.0168695,-65.923683,3
77.2458791,-0.094537833,0.073020725,0.000953283,-0.005711358,1.39496085,-23.80225519,0.106275351,0.16433473,0.196829117,0.157012179,11.40812078,72.45116423,1.455136794,-0.802399889,-0.273603583,0.004524744,0.092430254,2.420525141,3.841282214,-0.316240386,-1.009542335,-0.862508405,-1.003994717,4.527127813,0.35542,0.295346,0.3554515,0.3092875,21.235958,195.9847565,-0.301155,-0.310251,-0.399479,-0.34579,-18.860312,-133.7613445,3
80.2168282,0.053027292,-0.2672424,0.0930214,0.013906592,-15.11786337,136.5712395,0.0602627,0.03810567,0.144945786,0.146765845,2.588273025,93.25960094,1.358748347,0.398587272,0.204278608,0.187091256,1.795829201,-2.295931707,3.041432662,-0.098434029,-0.847391699,-0.918638919,4.893981462,3.941788577,0.2748195,-0.171321,0.40948,0.3287405,-4.4817235,206.2000275,-0.0396475,-0.333742,-0.161462,-0.238399,-18.9180985,-150.0594635,3
83.1878346,0.003709433,-0.08053955,0.0476338,0.027850958,-2.410943983,39.60188936,0.135877936,0.267603521,0.199091358,0.143076512,13.6354165,116.2687024,-0.379585608,0.418336184,-0.514101145,0.048802227,1.094929991,0.02822635,-0.498046822,-1.44418782,-0.740573684,-1.088219058,0.041045905,-1.633384759,0.264691,0.400321,0.3479775,0.344095,32.5827635,200.7234495,-0.310491,-0.4010105,-0.3837675,-0.26814,-18.084293,-146.446152,3
86.1588391,-0.012186867,0.167797892,-0.021292075,-0.001771167,5.479578142,-65.54620351,0.096771508,0.13348231,0.16949787,0.117942208,10.13185057,19.22913343,0.693242183,-0.09372505,0.147019959,0.696355096,0.515039598,-1.478463995,-0.52886211,-0.525677662,-0.671196709,-0.55352792,-0.569377537,1.369543247,0.2127075,0.4005045,0.328727,0.26727,28.826704,-44.3099705,-0.151122,-0.1092095,-0.3556095,-0.179429,-10.5824315,-119.4443055,3
89.1298779,0.110845433,0.021565408,-0.009200433,0.025793242,6.059234875,19.90188057,0.189586514,0.3158605,0.179469901,0.117854989,12.8939245,120.7993691,0.766494681,-0.10917842,-0.662680532,0.821036712,0.486711146,0.641488705,-0.608549163,-1.555916878,0.229549856,1.483248451,-0.010796235,-1.491309864,0.5779695,0.4883955,0.41549,0.461322,36.810276,204.6667025,-0.1236035,-0.444514,-0.4630555,-0.1730365,-17.694844,-123.333866,3
92.1008862,0.123785542,-0.297348375,0.064987817,-0.00423925,-10.73901554,152.8524724,0.067842852,0.044228558,0.114648473,0.117956903,2.959782179,81.54866025,0.007330843,0.248747848,0.47272951,0.408815451,-0.4196746,-3.14233548,-0.321410693,-0.421356361,-0.398564991,-0.608793924,0.059289096,8.638437684,0.2805855,-0.19707,0.37699,0.3002855,-4.9143,202.744217,-0.0153025,-0.3939325,-0.155025,-0.232786,-18.767271,-147.282013,3
95.0718316,-0.089285108,0.020459392,0.022567683,0.009592925,0.135202475,-7.222747783,0.166654468,0.179400501,0.170510966,0.125808586,10.49812396,89.00422871,-0.013018023,-0.665963767,-0.135949737,0.190202467,0.49989596,1.459441366,-1.095321602,-0.7099363,-0.812726975,-0.571276702,-0.521287071,0.791752787,0.186594,0.260202,0.348649,0.2936385,24.9630395,198.0312195,-0.375349,-0.3473785,-0.3193055,-0.264232,-16.3395845,-137.174576,3
98.0428704,-0.146242425,0.100957708,0.017773017,0.010943308,2.182050792,-40.98301012,0.071702643,0.092664486,0.185051004,0.141438483,9.121747937,12.944349,0.126272828,0.085132115,0.061654718,0.419069616,0.660678035,0.011444693,-0.63810673,-1.313317479,-0.327839715,0.022920236,-0.340862481,-0.805276763,0.0094385,0.26194,0.451183,0.3835435,25.533655,-14.512253,-0.247493,-0.0469445,-0.373608,-0.259442,-11.2184945,-69.1812975,3
101.0138177,-0.1191129,0.232211683,-0.033131367,0.011436408,8.862955417,-50.64638912,0.047894279,0.088141112,0.165254821,0.113515374,8.83135674,4.344642197,0.002313181,-0.180132066,0.095308835,0.506242274,0.387883644,-0.818569258,-0.11497008,-0.843447377,0.170572231,0.752568301,-0.343718654,2.638116055,0.0114515,0.377167,0.38727,0.3516415,29.0034105,-39.8455735,-0.215308,0.0448215,-0.371961,-0.2240135,-7.1736025,-67.6181335,3
103.984826,0.183340083,-0.231629792,0.011680158,0.011566333,3.056975317,74.9409848,0.173405073,0.29926204,0.149342726,0.128419151,7.324007801,121.2349493,-0.500432455,0.438622165,-0.503727211,-0.015521069,0.720533213,-0.430008304,-1.01293596,-1.345133861,0.123836142,-0.144177161,0.569663068,-1.683367068,0.4604255,0.290648,0.2929125,0.2855855,24.60305,204.456543,-0.142884,-0.609374,-0.4160445,-0.3065745,-11.3469885,-139.8281555,3
106.9558381,0.148615375,-0.2694968,0.074047958,0.008068008,-10.18488894,102.573265,0.073168948,0.06765793,0.137938995,0.143276068,3.908572637,137.6457391,-0.157379872,0.096258944,0.332058336,0.255777094,-0.230261435,-1.098952599,-0.556878953,0.414989986,-0.639488178,-0.804116279,0.318801804,-0.725976266,0.296725,-0.0876405,0.395386,0.3342635,-0.717167,204.680374,-0.013198,-0.35589,-0.164207,-0.2399935,-19.8073635,-149.404724,3
109.9267777,0.045188983,0.267896967,-0.111064392,-0.002703383,14.48039687,-76.56661543,0.113439426,0.24587574,0.198484742,0.113436415,14.67317375,28.20716454,1.351564351,-0.774351825,-0.013760876,0.059931442,-0.240216857,-1.850298251,1.179575965,-0.827519191,-1.044617995,-0.903208069,-1.358800718,1.79394746,0.374395,0.572412,0.2760415,0.237692,37.887243,-54.1800615,-0.1137195,-0.2124755,-0.485752,-0.2145285,-13.217403,-150.3103335,3
112.8976716,-0.021572817,0.400049883,-0.129249175,0.011910142,19.16655943,-62.51837967,0.026634053,0.029231743,0.144990046,0.100362414,6.311660249,2.350435385,1.078509437,-0.113972292,0.117857642,0.385709218,0.300882882,-1.161717087,1.214464316,-0.538949694,-0.298379875,-0.005822059,-0.377878663,1.691644248,0.0588595,0.454594,0.1866555,0.25638,36.0421675,-58.6681365,-0.065488,0.328294,-0.491701,-0.2322535,8.287015,-70.1363485,3
115.8686417,0.027050483,0.213216383,-0.084506483,-0.008885267,12.05360453,-37.49929274,0.093268721,0.26742497,0.195555173,0.139437624,12.21036931,78.10605154,1.570773016,-1.377444058,0.050412475,-0.047515958,-0.197994225,2.153833802,1.676549258,0.412144206,-0.928908815,-0.973556711,-0.754110254,3.122452564,0.314326,0.442086,0.2909595,0.2622555,35.5477715,181.6127625,-0.094743,-0.4256905,-0.4684555,-0.2725305,-11.4095205,-140.7561645,3
118.839589,0.117693383,-0.097226475,0.081937108,0.037530233,-5.448062692,8.639892367,0.105027235,0.189472284,0.147270126,0.147350725,6.236388777,137.4269252,0.211863227,0.681373894,0.449416141,0.180124152,1.122359659,0.533794132,-1.400353223,-0.625945826,-0.4674073,-0.474746975,0.886246698,-1.575718552,0.303558,0.327196,0.450542,0.38188,12.4596135,205.36969,-0.0288795,-0.3243155,-0.1887965,-0.2587295,-14.861414,-147.0001375,3
121.8105096,0.412432008,0.524122433,-0.016174792,-0.016578692,3.65383955,-72.45607602,0.39573386,0.069544027,0.254683793,0.039986259,22.60384817,11.96016871,-0.442801618,-1.029335524,-0.603835486,-0.025733214,0.570775658,0.541112579,-1.694788106,0.525437724,-1.276043062,-0.41412241,-1.418018352,-1.045490954,0.801205,0.6168305,0.265412,0.07585,42.9832575,-48.225155,-0.2140575,0.339673,-0.4757765,-0.0985885,-18.776047,-87.833317,3
124.7770401,0.389278833,0.451635683,0.052782675,-4.07E-05,-3.38423495,-47.65774111,0.294316399,0.2577482,0.109049019,0.058635137,6.805235562,32.00724515,-0.282005489,-0.868341812,0.035472259,0.135708056,0.106655864,0.574041174,-1.527612167,-0.862685611,-0.628221829,-0.013479323,-0.673670325,-1.289681627,0.7766775,0.739849,0.3029965,0.1389405,9.79356,10.3715595,-0.1132475,-0.0765225,-0.1534205,-0.126305,-17.019907,-82.408016,2
127.7487809,-0.029759317,-0.040182308,0.020250917,0.0065182,-0.78831345,5.929825592,0.050729,0.05377485,0.052487242,0.023088261,3.849049983,3.887351377,0.379101625,1.700689101,0.437520825,0.544227149,-0.495871096,-1.622355465,-0.374371115,4.323440876,-0.903175583,0.875194907,-0.717744181,3.8807295,0.08032,0.1664055,0.1251095,0.0755405,6.183979,13.0242465,-0.1315205,-0.1388175,-0.0664755,-0.038855,-9.6853315,-8.690529,2
130.720505,-0.042875342,-0.033029017,0.006090558,0.004374575,0.10118565,5.322282825,0.014575989,0.02328169,0.021761451,0.014510547,1.167141188,1.779280837,0.643221113,-0.101920397,1.79862226,-0.389505784,-2.087049767,0.196128919,1.250717091,-0.563258687,6.508331399,0.806985547,7.858218198,-0.448646086,0.008537,0.0090195,0.1086665,0.0404495,1.8639485,9.694145,-0.077462,-0.0904345,-0.0353265,-0.038726,-5.6251545,2.1373135,2
133.6921842,-0.055946692,-0.035574208,-0.011957992,0.00415945,1.421282333,5.479553375,0.023799606,0.022943328,0.025009919,0.015893276,1.709958328,1.640587137,-0.765299866,-1.347827382,-1.561839757,0.070044702,1.703415793,1.333455983,0.233428357,1.282952905,5.994148857,-0.05348929,4.739278157,1.08090193,-0.017272,-0.0024505,0.044052,0.0450425,9.039854,10.2071995,-0.1299645,-0.1056565,-0.1283435,-0.0344335,-0.9572355,3.1315155,2
136.6638333,-0.072218583,-0.055493867,-0.033046542,0.00375375,2.81424765,6.942611308,0.014887299,0.033431303,0.012203665,0.013716056,0.809029129,2.371480844,-0.107019022,-2.036158951,0.149766893,0.302426333,-0.033666657,1.919553682,-0.042133156,3.478314042,-0.468139951,-0.109591589,-0.242906456,2.928403914,-0.033654,-0.0237755,-0.0062535,0.0426535,4.4826715,14.9719545,-0.111173,-0.1729555,-0.061533,-0.024993,0.8378355,4.5774235,2
139.635452,-0.013008883,-0.091026525,0.036703458,0.004806708,-2.123540833,9.870771025,0.039795546,0.041531128,0.038775063,0.025098462,2.857612457,3.270918632,0.060943582,-0.258513929,-0.133456034,0.193975128,0.279760011,0.235143921,-0.850525732,-1.194628739,-0.898591596,3.824597743,-1.081298116,-1.211933948,0.083646,-0.015234,0.1134565,0.09762,3.263214,16.519905,-0.085272,-0.177257,-0.040238,-0.0725365,-6.865915,3.69458,2
142.6071317,-0.03989825,-0.090374758,0.006557708,0.004931258,0.089961617,9.534726092,0.03246123,0.028906224,0.024958713,0.020108891,2.06605417,2.103587913,-0.045406981,-0.220347132,-0.269895367,0.018703992,0.101011075,0.161981438,-0.241063705,0.126526054,0.016020454,1.057675456,-0.375610883,-0.035215104,0.0358105,-0.025362,0.0620215,0.0704325,5.468563,15.0376125,-0.1166635,-0.1656035,-0.067695,-0.0435755,-4.110083,4.829346,2
145.5788133,-0.061747042,-0.107787217,-0.021312133,0.004088583,2.02894905,10.65104917,0.021203561,0.014426752,0.01477672,0.020233503,0.996988758,0.986528956,-0.245793327,-0.319092348,-0.142268699,0.363613242,0.211613081,0.323356886,0.775866029,-0.465832439,0.245662199,0.472778282,-0.231722296,-0.361096487,-0.0056485,-0.081251,0.008115,0.055756,4.3763065,12.9485245,-0.1223995,-0.141594,-0.0638815,-0.0477405,-0.072731,8.6590955,2
148.5502793,-0.051932833,-0.0924726,-0.00711905,0.002323708,0.956068,9.593949033,0.012076791,0.017291802,0.015088095,0.008381481,0.981920742,1.276517787,0.15043926,-0.825412476,0.433999341,-0.339431073,-0.007792692,0.764622772,0.011140815,1.121144283,2.114048816,2.418205504,1.816137767,0.779732009,-0.021116,-0.056693,0.044907,0.025438,3.7262935,13.735924,-0.080482,-0.1499845,-0.048414,-0.0288805,-2.2948495,6.9991075,2
151.5217587,-0.072515042,-0.052351108,-0.034408242,0.0036764,2.94903195,6.797846567,0.023406252,0.021365683,0.013816125,0.017643462,1.190810399,1.443564774,0.52854188,0.344311291,0.156210418,1.222153747,-0.338580207,-0.030716337,2.377187193,2.622733253,0.944878888,3.996494938,1.925120471,2.239943425,0.0003615,0.0079215,-0.0012815,0.070051,6.1435605,11.547203,-0.1336255,-0.118744,-0.068489,-0.035314,-0.3682135,2.6634675,2
154.4931657,-0.0801144,-0.030351417,-0.043941167,0.003250992,3.611120175,5.127790708,0.013740686,0.008739606,0.015067736,0.011422519,0.899376763,0.61362725,0.244137959,0.181985197,1.821735527,0.744501581,-0.38030105,-0.234338956,-0.764011378,0.520883914,7.823775236,2.61147702,1.162742827,0.897221178,-0.048938,-0.007881,0.0298665,0.048842,6.2204855,6.7625275,-0.103332,-0.0536425,-0.0788,-0.0187945,0.8463615,3.3427355,2
157.4645097,-0.0839101,-0.03678745,-0.050368033,0.003921675,4.017279642,5.617288183,0.020078461,0.012734684,0.013321031,0.015413737,1.03628184,0.927216748,-0.125080667,0.163404313,0.495963464,0.434666558,0.238829525,-0.305849758,0.717997227,-0.178476828,0.344832685,1.336810271,-0.424550848,0.043203724,-0.033776,-0.004159,-0.016199,0.0505415,6.330818,7.3845365,-0.1364325,-0.0632215,-0.081972,-0.0388185,1.7349985,2.9810715,2
160.4359719,-0.0682141,-0.04066035,-0.0287411,0.004771483,2.705191325,5.950874675,0.026987556,0.01606029,0.02911139,0.020835289,1.783493325,1.185722057,1.100161243,-0.026394491,1.347287584,0.506604974,-1.094673835,0.083408658,1.723636711,1.09398383,3.002375446,4.003621195,2.135787208,0.797926141,0.0168655,0.0108195,0.076207,0.0870515,5.820381,8.9817505,-0.1244735,-0.0847595,-0.082644,-0.063293,-3.380455,2.3170545,2
163.4073197,-0.044155183,-0.016914525,0.002157592,0.002968183,0.270864667,4.104747883,0.019393623,0.01572762,0.024466191,0.009703072,1.722044032,1.137353696,0.132450676,-0.617317544,0.47875763,0.418132984,-0.305469178,0.66747528,-0.838121276,-0.232665756,-0.489259577,1.982314814,-1.225902622,0.043192604,0.0045715,0.009874,0.0718145,0.036483,2.737385,7.4384235,-0.079933,-0.0597435,-0.0379205,-0.025685,-3.238617,2.0318985,2
166.3787515,-0.063859108,-0.001086383,-0.024996258,0.001997758,2.168654733,2.994151967,0.009681674,0.005491766,0.009813045,0.008418531,0.583121395,0.383575314,0.102850722,-0.117208008,-0.46882605,-0.248160033,0.471503091,-0.030435753,-0.159307821,-0.377150671,0.43955513,-0.287250533,1.323252983,-0.279242776,-0.0397555,0.012497,-0.0076875,0.017066,4.2314855,3.8315125,-0.083747,-0.013586,-0.0537835,-0.0222585,0.9365425,2.073395,2
